metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.11685478282362072,4.147247827312821,0.1710812133715647,0.028450480813479468,0.03697099901087553,4.330754951147108,0.14973197614097886,0.0912875096872524
UnemploymentRate_mean,False,,identity,0.11685478290974471,0.041472478271106006,0.17108121336795196,0.02845048081801949,0.03792944808187271,0.043285993352016966,0.1494871404554477,0.09143410957434703
Output_mean,False,,identity,0.7193533445627678,4.337050515771194,0.5914908103639934,0.07331506825368043,0.6371336477228189,4.93160057605469,0.6529874356387738,0.0436890708074688
Consumption_mean,False,,identity,0.16875718366441705,5.5419816313826065,0.21712605354560077,0.050354730216482416,0.1490392116452247,5.607327262534885,0.19039721175972021,0.08895677802922763
Transfers_mean,False,,identity,0.19100626272813503,0.527670659988568,0.2497746501324955,0.04261112808120284,0.1853962943652282,0.529497065672654,0.2348928145467525,0.08700365400790787
AvgPrice_mean,False,,identity,0.9446852252782659,0.01350971716363724,0.941746817328025,0.0071689190656643205,0.9109520491497706,0.017141058923973808,0.9241319387519743,0.010494506938498635
AvgMarkup_mean,False,,identity,0.19022718002006933,0.01287338997014716,0.21513967695896485,0.07212179664561463,0.15740268405253244,0.013131712421469101,0.18331605829822178,0.0404787529647747
PriceDispersion_mean,False,,identity,0.07432448632426825,0.016959805908096322,0.16216819967326304,0.034598449185574386,-0.01863696406994464,0.017791034659935808,0.1510059126729391,0.14017741557507035
InventoryGap_mean,False,,identity,0.12119133255691605,0.09738420021755725,0.13235627188213678,0.051169130144975476,0.07338845672085192,0.09999774099812173,0.0892964028024108,0.10941713841061092
SalesForecastError_mean,False,,identity,0.0690686470056181,0.006943659803007414,0.043817726015250205,0.0329692976121144,-0.018013040569488048,0.007261164520419494,-0.0895457140042761,0.12224568968327072
InventoryTurnover_mean,False,,identity,0.5061868891238013,0.03719718844903936,0.6391964432671866,0.09725577872287096,0.6139171176076228,0.03289039431869964,0.5946693098457431,0.062800983755749
CreditRejections_mean,False,,identity,0.4646137722797986,3.097990482348326,0.5534917520516667,0.05242844263782438,0.5898031486486603,2.711706254445933,0.5290437682399282,0.06799961431557588
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.09882421059903257,0.5279597627442316,0.16471244684680655,0.03496279475666304,0.00875556613753059,0.5537152032631258,0.1338468706237364,0.10649824913007623
HH_Debt_mean,False,,log1p,-0.03266151778491033,19.75453274562787,-0.04941986712972466,0.047403437978559476,-0.29937157247784096,22.15921879599951,-0.34032994319244353,0.03963471775111168
HH_Deposit_mean,False,,log1p,0.2492556543070219,1.4533544512518142,0.29780733885594113,0.04118442011633304,0.34750343480403334,1.3549230312023433,0.36737722276316986,0.03397832565043954
Firm_Debt_mean,False,,log1p,-0.0030817962712590408,0.11322466143829665,-0.041469511364261934,0.056972267256509314,-5.97297526209844,0.2985258327357004,-8.739284612275437,10.338534818852924
Bank_Equity_mean,False,,log1p,0.009934938263172932,2.0198770393369125,-0.024238261010124405,0.021391201378638022,-0.24947673904200762,2.269118374875522,-0.26031546129795735,0.07084730665315803
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.02921190448251798,0.0673982287940564,0.038930533810390466,0.0419263040267284,-0.09068589712699104,0.07143912248931257,-0.10595651094619152,0.1193056939824447
BankResolutionAmount_mean,False,,identity,0.012634216569975987,1.014802911003071,0.04247603475722903,0.06611277460403393,-0.12987564121274886,1.0855703945175121,-0.12104443616925979,0.1570981592160346
BankResolutionHaircut_mean,False,,identity,0.468669191748587,0.004265437027418099,0.4362190306457284,0.14333054601397877,0.5006088761949099,0.004135246901483278,0.4551339594566112,0.19171547770216535
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,True,low_variance,,,,,,,,,
Defaults_mean,False,,identity,0.02719023149097799,0.1488593876347404,0.031499560139708185,0.048117138739276255,-0.0915688992840642,0.15768407808635573,-0.11539494590605559,0.15170335653277242
DefaultsHH_mean,False,,identity,0.02719023149097799,0.1488593876347404,0.031499560139708185,0.048117138739276255,-0.0915688992840642,0.15768407808635573,-0.11539494590605563,0.1517033565327724
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.7472649688740335,0.0004689246231679449,0.6286113534267603,0.022631825366378686,0.6453342882610071,0.0005554946986570639,0.6777229200768609,0.03115741064210052
DefaultsFirm_rate,False,,identity,0.21085594748198344,0.0008678458271358065,0.2692142717383502,0.061682386611362466,0.1781876373377479,0.000885626841812567,0.2141740945919238,0.12243146025471335
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.27711692785127884,0.029730254278008756,0.2506607593653409,0.03923955165806449,0.2958702013191016,0.02934208414530268,0.24149531093011536,0.06705320096200369
BankBailedOut_share,True,low_variance,,,,,,,,,
