metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.01543469812435938,3.2282521357350635,-0.11185479664459404,0.45804264980930004,-0.2824068331108289,3.6843263793618606,-0.28903680521320835,0.8837216407657073
UnemploymentRate_mean,False,,identity,0.015434697858693003,0.03228252136170604,-0.11185479757828931,0.4580426502890882,-0.2820465792158984,0.03683808842288987,-0.2916263676288433,0.8895189735016107
Output_mean,False,,identity,0.7289591918492706,5.043308640318193,0.6443146971014919,0.11923237256347902,0.7598610352068899,4.7471124800345565,0.6903251011533301,0.11348457751749877
Consumption_mean,False,,identity,0.781284323899997,4.46353472388966,0.7094183584564451,0.08972641613858491,0.7077556013642663,5.159552785211665,0.686538723983584,0.09324388277281223
Transfers_mean,False,,identity,0.8079647077100199,0.3738584351446629,0.7150284974163451,0.10108768525237678,0.7648317564008072,0.4137195048268895,0.7120613440602275,0.10363970821634165
AvgPrice_mean,False,,identity,0.982808735255188,0.014823338777774362,0.9822372638236786,0.0027130621706524566,0.9801894300010328,0.015912580206926746,0.980043243226399,0.0024651013003118703
AvgMarkup_mean,False,,identity,0.005115497821851722,0.01139048038216216,0.04634250264569657,0.03565027130125964,-0.22772916465656667,0.012653392910285678,-0.1407020275201094,0.10247598379461852
PriceDispersion_mean,False,,identity,0.1621199327365368,0.023485311192699018,0.3167168169225554,0.13637059999803394,0.1495639506791674,0.023660625434496246,0.3117132894481437,0.2291530850706783
InventoryGap_mean,False,,identity,-0.03328087895243126,0.09716992570776292,-0.031183786084735998,0.051813658928446436,-0.626366362565109,0.12190790445675732,-0.6434353202083106,0.6326950397877239
SalesForecastError_mean,False,,identity,0.506753041269701,0.02106003229909831,0.4181599126764762,0.10421562539323563,0.4138468143238606,0.022957912148814735,0.34411155161662926,0.20396108749941966
InventoryTurnover_mean,False,,identity,0.8189055360231079,0.047159948287644984,0.8416773633404088,0.02002655894064649,0.8322693748179252,0.0453865232774133,0.8487401465129422,0.012236432224070788
CreditRequests_mean,False,,identity,0.5395628909212787,4.859637205024153,0.5372357802679268,0.07594407108949876,0.5276744395796571,4.921975112023965,0.5487976476851749,0.08236024716958916
CreditRejections_mean,False,,identity,0.0761896770049807,16.03116850409833,0.12927124263081297,0.03613699396451437,0.0683054327494046,16.099432039146723,0.06232701562267724,0.071815006680688
CreditRejectionRate_mean,False,,identity,0.07951722929495342,0.15674268330100483,0.1441401092600088,0.0411783282818632,0.04442547651302742,0.1597025043621662,0.06767572128492094,0.05415500771126235
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
