metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.5095038234472731,6.919493974911921,0.321352380548939,0.34609975520140196,0.535953978978075,6.73034069179671,0.2809560263264035,0.39206119934942635
UnemploymentRate_mean,False,,identity,0.5095038234473253,0.06919493974911553,0.3213523805516512,0.3460997551987177,0.5390033290796166,0.06708190957772495,0.2790658124583558,0.391161750688867
Output_mean,False,,identity,0.7348623294369853,12.309371890903835,0.8005573558318175,0.08616554330195018,0.8263368149274339,9.962172456489501,0.8512841953463507,0.04655871417604581
Consumption_mean,False,,identity,0.6046804324704402,10.448227557003118,0.6630581470976784,0.14622707590964373,0.641121668617031,9.955018820914427,0.6766571783679334,0.11355833597971789
Transfers_mean,False,,identity,0.5603536196355026,0.9978978636347363,0.6673865262958353,0.13809427188028708,0.6543018894029667,0.8848768735207798,0.6901746569859023,0.10827084084764008
AvgPrice_mean,False,,identity,0.9802310166780626,0.027807536434184522,0.9637199647922913,0.03209214269063698,0.9821230396719532,0.026443393370805524,0.977924160607649,0.007139148747913808
AvgMarkup_mean,False,,identity,0.299956079116939,0.02051696187882291,0.2925292250073535,0.10473447759486464,0.28269890062872627,0.020768309892576244,0.2727953550993286,0.09791698539147184
PriceDispersion_mean,False,,identity,0.5460039154809644,0.025224926545153903,0.6640643865214746,0.12164703723839804,0.6115132361262963,0.023334149168940343,0.7114741383921459,0.11611994107711485
InventoryGap_mean,False,,identity,0.13116411731393696,0.34801340232085115,0.3867951426858561,0.186007372232037,0.13606208501660055,0.3470310720847062,0.35031012490090335,0.234033012290088
SalesForecastError_mean,False,,identity,0.42533746994417765,0.029767768923335835,0.2001002027296867,0.5593760051352317,0.374188803268624,0.031064295586080586,0.1848914279243882,0.5481196665192205
InventoryTurnover_mean,False,,identity,0.7359442662267752,0.08482205666697815,0.790365630007375,0.03371892578072605,0.7931631951155955,0.0750714678460322,0.7804993661992292,0.05992273394070189
CreditRejections_mean,False,,identity,0.8576758736817562,4.593080792308904,0.8860705448702102,0.05401235898109936,0.9230316049028481,3.37769971314158,0.922643084762057,0.012782494415955093
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.4817341283083708,0.7184556204173159,0.34144618208717753,0.1435621265665114,0.5027454887127255,0.703741248255484,0.3084917298215646,0.154843779398956
HH_Debt_mean,False,,log1p,0.17231227607208077,28.25084800426374,0.18584951316591913,0.02865858245936739,0.15406125553487127,28.56062386749475,0.18954080956460603,0.09685241489543689
HH_Deposit_mean,False,,log1p,0.9206323969238348,1.0460707445733644,0.9046374370128252,0.0594652557420979,0.938186155218313,0.9231713174188273,0.925889529230694,0.029310598304410355
Firm_Debt_mean,False,,log1p,0.06300914899654952,9.52867048727379,0.05834408895908314,0.0547916876748734,0.13133320186677688,9.1746867432345,0.07897334902797933,0.09267279553442974
Bank_Equity_mean,False,,log1p,0.0695242142277942,2.2985754218482883,0.002895958736168813,0.09580182595408304,0.1293534259785677,2.2234489798778365,-0.08560531194877505,0.2870672498666236
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.33827223889194025,0.09932877463806296,0.4862050942627102,0.10371371043195506,0.27405288639451686,0.10403701711897477,0.4957262775478166,0.15570706766881243
BankResolutionAmount_mean,False,,identity,0.21532091461078684,1.3591740976902378,0.38005353211624826,0.13563004563161593,0.09370019178833988,1.46071333789847,0.3898793139533351,0.19694653225704334
BankResolutionHaircut_mean,False,,identity,0.5434528030400483,0.02891448708326082,0.8210052438900138,0.030693815465185847,0.7775169441232109,0.020184645339085174,0.8292217403020917,0.0425963953168377
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.7011890247431677,0.45757017230574987,0.9050966758146395,0.023797209344782216,0.821029965397117,0.3541192981836969,0.8982962615004565,0.05803116756822371
Defaults_mean,False,,identity,0.2715973593809591,0.2337256941266527,0.3874704293381025,0.13850928251714853,0.11242246440791726,0.25800246384617537,0.39695131357851776,0.2252886338884851
DefaultsHH_mean,False,,identity,0.2785822980347521,0.23260235091199616,0.3914720121851093,0.1343077696739727,0.13599194848180574,0.2545538074224978,0.4012315990901835,0.21474356800366448
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.7732262060597508,0.0017379117285784395,0.7886080584943841,0.052617508062724715,0.7672145922713806,0.0017607964648662592,0.8076610743793914,0.061107463784996215
DefaultsFirm_rate,False,,identity,0.917371847366754,0.0008035942118943079,0.9013689044297344,0.030588597920880787,0.9050354288726045,0.000861496632242595,0.8660236245924843,0.03306654528017417
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6843410409011315,0.03663434578687502,0.7163578855203687,0.02692254836425731,0.7102224731150553,0.035100372961181465,0.748177596012224,0.0170600903250909
BankBailedOut_share,False,,identity,0.457148668952035,0.0232782422200174,0.8103826475989674,0.018694186335052702,0.7486326788738222,0.01584032682004104,0.8092274010528187,0.041344009652976174
