metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.26082491149929854,5.07049824928936,0.4831870722213158,0.23626998805793878,0.3328524782548915,4.8171249850692055,0.5010611397744772,0.22857551615185887
UnemploymentRate_mean,False,,identity,0.2608249114992989,0.05070498249289359,0.4831870722213159,0.23626998805793886,0.3340845695490984,0.04812674784508391,0.4996471022810741,0.22920254521073802
Output_mean,False,,identity,0.6739345904989765,7.9387200496195645,0.8228515589540049,0.06772813341869031,0.7883410804981382,6.396117156101129,0.844491805536309,0.053758214091923204
Consumption_mean,False,,identity,0.5344693486931102,6.570432214939262,0.7233914563046453,0.11436841830173833,0.5994067615707737,6.094970472913464,0.7173311094531993,0.1290676166611369
Transfers_mean,False,,identity,0.5363279947423321,0.5996640153004708,0.7261975090734625,0.12973202443491383,0.6091291480926162,0.5505784303041739,0.7200488637259411,0.1327083156653035
AvgPrice_mean,False,,identity,0.8581902823559345,0.04909525219053148,0.9700367566116084,0.015535636411761795,0.9715204311078989,0.022001546290249724,0.9725003267352914,0.004164565021461298
AvgMarkup_mean,False,,identity,0.5693953401477458,0.0170396106868484,0.5550288394780074,0.055237110611000347,0.5530271792610695,0.01736044539557213,0.5867180375558038,0.03473160044763422
PriceDispersion_mean,False,,identity,0.5676467525397962,0.0172233018423565,0.6396347496574863,0.04972285455513982,0.6537493577803094,0.015413183322332581,0.6639451898369086,0.0589976828358332
InventoryGap_mean,False,,identity,0.15153147814018186,0.2345651406898452,0.24372740641780305,0.17401684912613088,0.15217380574871986,0.23447633586781727,0.33004916191164224,0.15660922569704278
SalesForecastError_mean,False,,identity,0.2761298266659439,0.022290759393018358,0.3532543029751431,0.0806866883858147,0.35424526931322997,0.021053694715535757,0.4106811084289165,0.12125794683091613
InventoryTurnover_mean,False,,identity,0.6130718132757854,0.08254381450326365,0.7205767364671962,0.08250511403934359,0.4798542149380871,0.09570439722743905,0.7448040960296602,0.06592178760959551
CreditRequests_mean,False,,identity,0.5931761653071712,4.209432708991015,0.5701053929104651,0.07367838392705298,0.6425451772099029,3.945762647928714,0.5828911067512157,0.08700616829420567
CreditRejections_mean,False,,identity,0.28333668159829195,16.22446631360961,0.26854021578083564,0.08305719830725058,0.2759764901712971,16.30756680044373,0.1964705011149474,0.19453447976170857
CreditRejectionRate_mean,False,,identity,0.21143056436456953,0.16534554883469813,0.21294833209293965,0.08603353035091203,0.19375389755111738,0.16718848102767292,0.13876686564818289,0.20308983388305543
FirmDowntimeShare_mean,False,,identity,-1.0700527274884148,0.0016346144782777398,-0.7660533147497908,1.0797678368560792,-3.21523731533005,0.0023325751924712593,-0.8589680043822121,2.0222120705379116
ReentryCount_mean,False,,identity,-0.5618057032586565,0.01042862810757539,-0.5543656014987688,0.8936582086953937,-0.9959579979619775,0.01178933686419367,-0.69503164349069,1.5927809210771706
UnemploymentTransfers_mean,False,,identity,0.24706055569396035,0.6897330623243675,0.38218518089948994,0.08339615900098156,0.28915029548108484,0.6701776085128324,0.39732986284074145,0.09925253558827468
HH_Debt_mean,False,,log1p,0.01681752041368556,42.72795109278702,0.1999801775650071,0.15897737729227462,0.10920076688662839,40.671006456266035,0.25452036735106753,0.2139624450232457
HH_Deposit_mean,False,,log1p,0.8573117859817074,0.4802158173095297,0.8444298238495028,0.0295456219183348,0.8703861669791386,0.45768648324844996,0.8659417646249106,0.03106166032336417
Firm_Debt_mean,False,,log1p,0.025048761872422665,17.58484791208509,0.09187119412680818,0.0525694309358172,-0.059412002613285164,18.330723790131675,0.28264864190452343,0.15874435988792074
Bank_Equity_mean,False,,log1p,0.222321494594507,5.071661526016062,0.26759824689085665,0.09627790239456695,0.04028903735304268,5.634046692398615,0.3798915156808321,0.18300828937453162
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.2998568243526518,0.061255406181807845,0.3855249115059328,0.10093011747438656,0.4072840647497544,0.05636042971593778,0.4432236064306938,0.11298648664200807
BankResolutionAmount_mean,False,,identity,0.2959021808439912,0.7529631294744985,0.35346806334689285,0.02910322848012972,0.4138476838077876,0.687009043023113,0.3764237923601273,0.03832911856305375
BankResolutionHaircut_mean,False,,identity,0.718005085875224,0.013697956519709774,0.7758118400229133,0.035569650644033966,0.7405321847816919,0.013139441115371896,0.7791263477783773,0.04482960313231548
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.6159024509845952,0.3596820065550184,0.8616398530622658,0.043364030849330874,0.6729125523516635,0.3319172956632428,0.8451481735945553,0.03430219591764248
Defaults_mean,False,,identity,0.11450438879835878,0.4185824121304069,0.10965366266128762,0.2370686921825415,0.22763729306090452,0.39092947638038894,0.05865671220337667,0.4658271016791362
DefaultsHH_mean,False,,identity,0.1210817294979264,0.41128611379502084,0.1323559456437075,0.2092402499120739,0.22826649088286133,0.3853926958912046,0.09564511993152211,0.41164921766599794
DefaultsFirm_mean,False,,identity,-0.4067050246319839,0.009897264976006976,-0.5018638053349077,0.8116315899291657,-1.0674747947085774,0.011998688814921296,-0.6456394203162409,1.539082350146037
