metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.5302497621798112,11.349395232578606,0.7265790968144532,0.23501672629308717,0.37650858443797275,13.07538408693689,0.6808896234790343,0.22646790354870047
UnemploymentRate_mean,False,,identity,0.5302497621798115,0.11349395232578599,0.7265790968144523,0.2350167262930886,0.3659685991734344,0.13185439168176763,0.6447711521963605,0.27755649021399875
Output_mean,False,,identity,0.9159711842845902,7.406833289022188,0.8469017617501006,0.1612805363707847,0.6670446062246103,14.743869416761276,0.7430617602745861,0.09965232323278543
Consumption_mean,False,,identity,0.38543751698454853,24.862674312122035,0.6640174296159793,0.2984989897516817,0.3434589824619739,25.69778851507762,0.044642889831745115,1.3425895358629965
Transfers_mean,False,,identity,0.2076807634085277,2.453773764334643,0.4715789004468099,0.665990496339303,0.12659111635992049,2.576280943154047,0.24852568861951094,0.9025744654950939
AvgPrice_mean,False,,identity,-0.7975307370207991,0.1915724303650094,0.4517225872083676,1.0905713075784984,-0.35258529045985076,0.16617939605277718,0.4512579944963836,0.8043697129447456
AvgMarkup_mean,False,,identity,0.8983140452773587,0.01676097448553905,0.9596165396629092,0.05782744222333237,0.6713945557125778,0.03013048739536914,0.5737899491471937,0.259750898791198
PriceDispersion_mean,False,,identity,0.6592985788031749,0.015062370667580167,0.6946190069691961,0.15105991561443263,0.5413344947334017,0.017476497453723736,0.5885542331158767,0.15906710524749385
InventoryGap_mean,False,,identity,0.8782379372802938,0.8964433323535113,0.5425738985020955,0.7125091673937256,0.6459713523808464,1.5285725139127928,-0.5295591166545757,2.3908586723465923
SalesForecastError_mean,False,,identity,0.7589206638911897,0.06316951287615954,-0.3334588150152762,1.8484964918208446,0.7388189660468287,0.06575039298183692,-0.7682191211271283,2.9780241481633825
InventoryTurnover_mean,False,,identity,0.1354499144233806,0.1381202177047808,0.639999789168419,0.31922857971150675,0.453623745129321,0.10980145210677023,0.5308502139444329,0.24283187496482303
CreditRejections_mean,False,,identity,0.8039429335855653,6.434602980267387,0.6383578536635726,0.4756583559184037,0.7043672528494502,7.901449618534667,0.42107093102668225,0.6578246001903533
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.9860739270137503,0.297041497980898,0.9704254675719343,0.027627460281728876,0.6626434145056329,1.4620000553879513,0.7044326195347945,0.13233875359350847
HH_Debt_mean,False,,log1p,0.18493271966954217,79.32006608479631,0.6103500870929298,0.3567881590803182,0.08566946585403612,84.01134724805011,0.20742253949158557,0.7712900606066265
HH_Deposit_mean,False,,log1p,-0.1810357716389257,0.3117838601682844,-3.5115663824087884,5.06453509494537,0.14375778705232134,0.26547303885240353,-3.742271305188936,5.681619525889622
Firm_Debt_mean,False,,log1p,-0.3215754201722705,6.925469098614534,-0.2436698663816304,0.48090598874544344,-0.39527479030517565,7.11595336471459,0.04489637964136981,0.47585814876067006
Bank_Equity_mean,False,,log1p,0.4574910493636126,11.319976027190183,0.63757881647127,0.4410041206527547,0.18590673088869358,13.866892066850033,0.544628425214108,0.4371329568748854
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.7884927576625931,0.13793567880894692,0.6820434073046282,0.4351017675813651,0.8263952426743286,0.1249668451723023,-0.8161766546825518,3.337701956926239
BankResolutionAmount_mean,False,,identity,0.6603950472250792,2.8051306164490737,-19.66297275091462,40.27953143221325,0.7659762467971174,2.328606206709636,-68.45219972345534,138.14227181867102
BankResolutionHaircut_mean,False,,identity,0.7051711221093151,0.03338528698161302,-2.2048397150213264,5.703865770335883,0.6741586584450666,0.03509725867978693,-2.2922895778908012,5.9654506546876105
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.8055200676699108,0.2508389792875299,0.5634728696600072,0.4642597698586595,0.8358124739518704,0.23047706087616393,0.48587929099824356,0.3987050554819717
Defaults_mean,False,,identity,0.7695618824745404,1.0035572889583797,-24.85274872491781,49.54943180407766,0.8026921618321478,0.9286181747108363,-26.61299691704544,53.664008336455026
DefaultsHH_mean,False,,identity,0.7695618824745404,1.0035572889583797,-24.85274872491781,49.54943180407766,0.8026921618321475,0.9286181747108369,-26.61299691704544,53.664008336455026
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.5811683942865129,0.005415209587267125,0.5135895209462242,0.5239434620945828,0.5721517209104432,0.005473188947995065,0.5320490281039121,0.33454897722685745
DefaultsFirm_rate,True,low_variance,,,,,,,,,
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6501629447139688,0.06652397123870683,0.7868198115302898,0.1084814861574218,0.6899990925254944,0.06262197281747435,0.7667409555867664,0.11176297594981657
BankBailedOut_share,True,low_variance,,,,,,,,,
